System,System,System,System,System,System,System,System,System,System
Time,EXEC,CFREQ,READ,WRITE,INST,PhysIPC%,Proc Energy (Joules),DRAM Energy (Joules),UncFREQ (Ghz)
02:27:07.181,0.53,2.27,5.97,2.11,6572.45,30.38,18.05,2.43,2.39
02:27:07.282,0.61,2.35,4.09,1.94,7690.36,34.1,18.02,2.09,2.4
02:27:07.381,0.51,2.31,6.2,2.37,6402.52,29.14,18.36,2.53,2.4
02:27:07.482,0.66,2.34,4.51,1.79,8306.41,37.14,18.31,2.15,2.4
02:27:07.582,0.53,2.32,6.2,2.39,6605.4,29.99,18.41,2.52,2.4
02:27:07.682,0.66,2.36,4.72,1.86,8178.31,36.45,18.24,2.17,2.4
02:27:07.783,0.65,2.34,4.83,1.89,8148.74,36.34,18.54,2.24,2.4
02:27:07.883,0.53,2.31,5.86,2.26,6564.39,29.76,18.27,2.46,2.4
02:27:07.983,0.67,2.34,4.73,1.89,8278.79,37.25,18.22,2.18,2.4
02:27:08.084,0.52,2.32,6.36,2.42,6560.93,29.39,18.54,2.56,2.4
02:27:08.183,0.65,2.38,4.27,1.99,8110.01,35.92,18.26,2.13,2.4
02:27:08.284,0.53,2.3,5.99,2.22,6578.55,29.89,18.25,2.48,2.4
02:27:08.384,0.65,2.38,4.73,1.87,8136.21,36.02,18.23,2.17,2.4
02:27:08.484,0.64,2.35,4.88,1.87,7993.59,35.68,18.32,2.21,2.4
02:27:08.584,0.55,2.3,5.9,2.24,6820.43,31.1,18.29,2.46,2.4
02:27:08.683,0.65,2.38,4.74,1.84,8016.68,35.7,18.26,2.17,2.4
02:27:08.783,0.54,2.29,5.97,2.24,6665.97,30.65,18.15,2.45,2.4
02:27:08.883,0.64,2.36,4.46,1.72,8005.57,35.48,18.15,2.11,2.39
02:27:08.983,0.51,2.27,6.07,2.31,6371.46,29.56,18.01,2.49,2.4
02:27:09.084,0.62,2.4,4.3,1.88,7837.4,34.11,18.26,2.12,2.4
02:27:09.184,0.57,2.28,5.84,2.04,7038.64,32.56,18.04,2.39,2.4
02:27:09.284,0.63,2.29,5.0,1.79,7883.09,36.07,18.05,2.21,2.39
02:27:09.384,0.67,2.34,4.8,1.73,8325.28,37.5,18.12,2.15,2.4
02:27:09.485,0.53,2.31,6.32,2.21,6691.94,30.32,18.29,2.51,2.4
02:27:09.584,0.67,2.34,4.45,1.63,8320.55,37.38,18.1,2.1,2.4
02:27:09.685,0.53,2.31,6.48,2.24,6644.37,30.04,18.4,2.54,2.4
02:27:09.785,0.68,2.36,4.57,1.64,8417.2,37.64,18.19,2.11,2.4
02:27:09.886,0.54,2.38,5.83,2.29,6738.19,29.48,18.45,2.43,2.41
02:27:09.986,0.65,2.34,4.9,1.85,8062.61,36.31,18.2,2.2,2.39
02:27:10.086,0.66,2.35,5.06,1.8,8249.0,36.64,18.37,2.23,2.4
02:27:10.186,0.57,2.3,6.07,2.14,7022.12,32.13,18.33,2.47,2.4
02:27:10.285,0.64,2.35,4.7,1.71,7936.41,35.74,17.94,2.13,2.4
02:27:10.385,0.51,2.38,5.68,1.98,6381.75,28.21,18.26,2.37,2.4
02:27:10.485,0.67,2.39,4.85,1.79,8317.91,36.61,18.45,2.17,2.4
02:27:10.585,0.53,2.24,5.99,2.07,6669.28,31.22,17.95,2.43,2.4
02:27:10.686,0.66,2.31,4.98,1.81,8287.9,37.48,18.19,2.18,2.4
02:27:10.786,0.52,2.37,5.31,2.09,6503.94,28.9,18.16,2.32,2.4
02:27:10.886,0.64,2.33,4.94,1.85,7959.97,35.81,18.21,2.24,2.4
02:27:10.987,0.67,2.33,5.14,1.82,8332.41,37.63,18.32,2.23,2.4
02:27:11.087,0.54,2.3,6.07,2.15,6803.87,30.93,18.17,2.44,2.4
02:27:11.186,0.69,2.33,4.85,1.75,8507.86,38.42,18.31,2.19,2.4
02:27:11.286,0.55,2.33,6.49,2.25,6851.54,30.95,18.45,2.55,2.4
02:27:11.387,0.67,2.38,5.06,1.83,8299.87,36.57,18.41,2.2,2.39
02:27:11.487,0.67,2.34,4.98,1.78,8329.33,37.49,18.32,2.21,2.4
02:27:11.587,0.58,2.32,6.13,2.15,7225.84,32.61,18.47,2.49,2.4
02:27:11.687,0.64,2.39,4.5,1.88,7942.17,34.85,18.21,2.14,2.4
02:27:11.787,0.52,2.25,6.05,2.12,6461.61,30.17,17.84,2.44,2.4
02:27:11.887,0.6,2.49,3.82,1.42,7535.65,31.6,18.4,1.98,2.4
02:27:11.988,0.54,2.31,6.54,2.22,6728.57,30.58,18.25,2.51,2.4
02:27:12.087,0.68,2.32,4.58,1.62,8442.41,38.26,18.12,2.12,2.4
02:27:12.188,0.59,2.33,6.26,2.18,7393.43,32.99,18.6,2.5,2.4
02:27:12.289,0.64,2.34,5.24,1.85,7993.76,35.84,18.39,2.27,2.4
02:27:12.389,0.67,2.39,5.03,1.8,8337.11,36.61,18.51,2.2,2.4
02:27:12.488,0.57,2.34,6.08,2.07,7069.73,31.83,18.26,2.44,2.4
02:27:12.589,0.63,2.38,4.64,1.95,7932.45,34.73,18.36,2.17,2.4
02:27:12.689,0.56,2.3,6.18,2.14,6930.34,31.68,18.25,2.46,2.4
02:27:12.789,0.68,2.39,5.01,1.79,8430.74,36.97,18.57,2.21,2.4
02:27:12.889,0.6,2.3,5.68,1.98,7419.92,33.94,18.07,2.34,2.4
02:27:12.988,0.62,2.31,5.27,1.87,7599.54,34.84,18.06,2.27,2.4
02:27:13.088,0.65,2.34,4.84,1.74,8106.42,36.56,18.06,2.15,2.4
02:27:13.188,0.56,2.32,6.16,2.11,7035.81,31.71,18.44,2.49,2.4
02:27:13.288,0.67,2.34,4.97,1.79,8317.28,37.5,18.25,2.2,2.4
02:27:13.389,0.54,2.28,6.25,2.16,6739.66,30.84,18.19,2.49,2.4
02:27:13.489,0.63,2.37,4.38,1.86,7871.27,34.71,18.22,2.13,2.4
02:27:13.590,0.59,2.28,5.91,2.06,7292.52,33.68,18.14,2.41,2.41
02:27:13.690,0.65,2.34,5.27,1.88,8097.38,36.18,18.42,2.28,2.39
02:27:13.789,0.66,2.33,5.01,1.79,8234.71,37.36,18.13,2.2,2.4
02:27:13.889,0.56,2.26,6.01,2.07,6932.89,32.48,17.98,2.42,2.4
02:27:13.989,0.67,2.31,4.96,1.79,8304.51,37.66,18.16,2.19,2.4
02:27:14.089,0.54,2.28,6.12,2.08,6712.2,30.9,18.13,2.45,2.4
02:27:14.189,0.69,2.35,4.91,1.78,8516.47,38.15,18.43,2.19,2.41
02:27:14.289,0.61,2.32,5.13,2.03,7593.29,34.43,17.99,2.24,2.39
02:27:14.390,0.58,2.32,5.73,2.06,7327.47,32.92,18.48,2.41,2.41
02:27:14.489,0.68,2.37,4.99,1.78,8404.14,37.5,18.25,2.19,2.39
02:27:14.589,0.55,2.34,6.43,2.18,6841.83,30.62,18.41,2.5,2.39
02:27:14.689,0.68,2.35,4.78,1.69,8492.63,38.02,18.27,2.13,2.4
02:27:14.789,0.56,2.26,6.25,2.17,6935.78,32.35,18.07,2.47,2.4
02:27:14.889,0.65,2.33,4.97,1.75,8125.19,36.52,18.22,2.18,2.4
02:27:14.989,0.68,2.33,4.9,1.74,8427.29,38.06,18.3,2.17,2.41
02:27:15.088,0.54,2.3,6.3,2.16,6706.53,30.86,18.1,2.48,2.4
02:27:15.189,0.65,2.37,4.32,1.86,8130.65,36.04,18.2,2.12,2.4
02:27:15.288,0.55,2.3,6.36,2.16,6785.12,31.24,18.05,2.47,2.4
02:27:15.389,0.68,2.35,4.97,1.79,8572.51,38.02,18.56,2.21,2.4
