Time Elapsed (s), sys_mem_r(MB/s), sys_mem_w(MB/s), total(MB/s)
39.5387,276.588,223.205,499.793
39.6385,322.934,246.36,569.294
39.7393,314.795,243.594,558.388
39.839,351.159,286.386,637.545
39.9398,291.052,234.545,525.596
40.0395,286.373,230.545,516.918
40.1393,290.861,232.933,523.795
40.2391,276.212,223.664,499.876
40.3389,291.724,234.555,526.279
40.4386,273.244,220.566,493.81
40.5384,287.955,231.613,519.568
40.6392,275.893,222.092,497.985
40.739,284.387,227.591,511.978
40.8397,329.044,275.706,604.751
40.9394,283.06,229.174,512.234
41.0401,285.593,230.808,516.401
41.1399,292.369,232.973,525.341
41.2406,301.242,241.617,542.859
41.3403,276.047,222.648,498.694
41.4411,291.061,232.656,523.717
41.5408,279.601,225.514,505.114
41.6416,284.333,226.645,510.978
41.7413,282.808,227.455,510.263
41.842,355.051,288.963,644.013
41.9418,301.806,246.406,548.212
42.0426,283.962,229.839,513.801
42.1424,288.514,232.391,520.905
42.2432,300.129,239.443,539.572
42.343,303.664,239.441,543.105
42.4428,292.122,236.95,529.072
42.5426,282.51,227.649,510.159
42.6424,293.864,237.219,531.084
42.7432,279.743,228.008,507.751
42.843,315.114,262.404,577.518
42.9437,319.612,252.723,572.334
43.0435,274.219,221.973,496.192
43.1442,290.748,235.879,526.627
43.244,277.69,222.858,500.548
43.3447,287.894,231.67,519.564
43.4444,282.093,225.903,507.996
43.5451,281.607,226.81,508.417
43.6449,286.089,231.676,517.765
43.7456,306.913,245.796,552.71
43.8454,337.311,284.589,621.9
43.9461,246.42,185.845,432.265
44.046,490.78,339.844,830.625
