Time (s),GPU 0 Power (W),GPU 1 Power (W),GPU 2 Power (W),GPU 3 Power (W)
33.04357409477234,160.8,160.84,154.37,121.84
33.2537579536438,203.71,206.93,202.67,101.32
33.464747190475464,140.61,110.92,129.52,167.48
33.69236445426941,112.35,138.88,96.11,195.79
33.915940284729004,131.69,150.76,119.89,201.93
34.14490079879761,139.06,161.02,136.76,125.24
34.376927614212036,204.51,202.67,200.68,127.26
34.6034939289093,190.26,135.99,149.67,158.02
34.80256748199463,130.78,100.34,119.6,176.43
35.040027141571045,116.52,149.68,120.14,192.47
35.26140308380127,146.27,144.59,142.99,160.54
35.46833634376526,160.56,171.55,156.48,117.77
35.652963638305664,183.73,209.07,200.29,111.99
35.8645441532135,175.09,145.85,141.65,135.59
36.08616876602173,134.52,118.43,122.64,163.12
36.28951406478882,119.74,109.76,102.45,175.28
36.52860760688782,149.18,154.18,144.5,167.52
36.731144189834595,154.79,157.21,156.78,126.04
36.93149471282959,190.28,173.31,187.95,105.06
37.141815423965454,217.47,163.18,169.47,137.61
37.353005170822144,142.33,114.88,122.15,161.5
37.54808712005615,106.87,93.04,100.06,173.47
37.76949095726013,151.34,147.3,146.4,173.62
37.99526524543762,162.43,169.52,159.16,127.36
38.204304218292236,206.07,206.68,207.48,97.58
38.43224310874939,153.94,139.11,126.44,154.05
38.659963846206665,134.71,111.88,112.96,166.34
38.88584542274475,109.2,142.79,96.01,196.66
39.08045053482056,139.22,150.84,145.77,142.19
39.264665603637695,149.14,162.66,176.06,127.32
39.4922297000885,201.8,183.37,214.97,100.36
39.68381428718567,141.37,130.96,145.48,160.79
39.8832151889801,115.35,131.71,101.71,177.97
40.12103533744812,149.8,147.48,141.63,120.36
40.34770202636719,166.37,169.05,169.9,112.49
40.54861521720886,178.85,168.63,174.67,110.51
40.76596546173096,210.59,168.84,210.16,131.87
40.946093797683716,169.58,120.35,139.09,148.19
41.18091058731079,141.96,109.25,102.42,164.24
41.407445430755615,149.97,155.12,147.33,184.6
41.63094639778137,157.03,160.47,157.33,122.86
41.85379934310913,163.75,206.24,162.7,107.57
42.05799746513367,166.28,141.53,150.65,139.62
42.26502704620361,135.4,104.25,115.27,159.67
42.45881724357605,109.2,157.86,103.59,203.44
42.679447650909424,147.86,145.96,141.54,157.02
42.886683225631714,152.38,154.39,160.71,124.83
43.122700691223145,214.53,177.1,206.72,148.77
43.349072217941284,145.37,120.71,129.95,162.01
43.56333899497986,111.61,153.98,99.94,204.63
43.78719687461853,145.77,160.63,129.48,130.95
43.9867947101593,170.96,195.1,205.51,103.24
44.2207977771759,151.83,128.65,130.53,150.01
44.447856426239014,130.53,98.78,119.35,176.85
44.654677391052246,124.09,131.71,151.48,140.43
44.872416734695435,144.51,137.09,134.78,138.17
45.10065174102783,168.01,164.47,157.31,111.08
45.28694677352905,191.1,191.59,176.3,99.11
45.49735903739929,168.35,195.82,207.61,97.58
45.722806453704834,181.46,136.58,153.36,152.58
45.94731140136719,137.82,107.6,118.22,161.86
46.17933988571167,107.72,123.06,93.68,194.83
46.368016958236666,142.26,150.43,138.35,147.12
46.56190371513367,83.81,76.42,76.02,77.58
46.7709321975708,81.15,75.04,74.16,76.9
46.96099615097046,80.76,74.94,74.36,76.92
47.18105101585388,80.76,74.94,74.07,76.92
47.38108777999878,81.23,75.33,74.16,76.62
47.55749726295471,80.96,75.14,74.07,76.72
47.75605392456055,80.67,74.94,74.16,76.62
47.93385100364685,80.46,74.84,74.65,76.62
48.12851428985596,80.56,74.75,74.05,76.52
48.30232048034668,80.45,74.84,74.16,76.92
48.48108744621277,80.86,74.94,74.16,76.43
48.65821552276611,80.16,74.65,74.26,76.72
48.833229303360014,80.46,74.94,74.84,76.52
49.03134536743164,80.25,74.75,74.07,76.62
49.211479902267456,80.35,74.75,74.07,76.62
49.39092040061951,80.67,75.13,74.16,76.43
49.56551265716553,81.35,74.84,74.07,76.33
49.746257066726685,80.16,74.75,74.07,76.62
49.92316174507141,80.25,74.75,74.26,76.52
50.144168853759766,80.06,74.65,74.05,76.52
50.337252140045166,80.65,74.84,74.75,76.52
50.51731514930725,80.16,76.02,74.07,76.04
50.69216275215149,80.45,75.04,74.16,77.6
50.87037396430969,80.67,74.75,76.83,76.04
51.051806926727295,80.06,78.3,73.97,76.23
51.232264280319214,80.67,74.75,73.97,76.52
51.40670442581177,80.45,74.55,73.86,76.23
51.60067296028137,81.25,74.84,74.07,75.94
51.776610136032104,80.35,74.75,73.86,76.04
51.988616704940796,81.64,75.13,74.65,75.94
52.17913222312927,80.35,74.75,76.43,75.84
52.357760429382324,80.25,77.12,74.16,75.94
52.5774347782135,80.16,74.94,74.16,77.23
52.773210763931274,80.06,74.65,74.16,76.94
52.96892499923706,79.86,74.66,73.86,75.94
53.140554428100586,79.77,74.65,73.99,77.01
53.31605005264282,79.96,76.02,73.87,75.84
53.49160432815552,81.82,74.55,73.97,75.74
53.6685094833374,81.25,74.55,74.07,77.89
53.865479469299316,79.96,74.75,76.23,75.84
54.04554986953735,79.77,75.93,73.87,75.54
54.24393439292908,79.86,74.84,74.55,75.84
54.45530724525452,79.77,74.55,73.88,75.65
54.65113568305969,80.06,74.94,74.75,75.65
54.8392767906189,79.86,74.65,73.89,76.04
55.01142764091492,79.77,74.75,74.16,75.74
55.18819570541382,79.57,74.55,73.97,75.65
55.3582181930542,79.67,74.65,73.76,75.74
55.55863642692566,79.67,74.54,73.87,75.84
55.73471760749817,79.67,74.55,73.76,75.74
55.91032409667969,81.72,76.12,75.84,76.04
56.0855450630188,80.67,76.32,74.05,77.1
56.25539255142212,79.67,74.65,73.87,76.72
56.42138648033142,83.01,77.7,77.02,78.47
57.21122694015503,82.7,77.6,76.93,78.47
57.387102127075195,83.01,78.2,76.63,78.27
